E	I	sigma I	I1		I2		I3				
											
Cs137 											
31	0.0563	0.001118034	1.99	0.05	3.64	0.1	0	0			
36	0.01233	0.00021	0.348	0.009	0.672	0.018	0.213	0.006			
661	0.851	0.002	85.1	0.2	0	0	0	0			
											
											
Ba133											
53	0.0214	0.0003	2.14	0.03	0	0	0	0			
80	0.3555	0.003041381	2.65	0.05	32.9	0.3	0	0			
160	0.00638	0.00005	0.638	0.005	0	0	0	0			
223	0.00453	0.00003	0.453	0.003	0	0	0	0			
276	0.0716	0.0005	7.16	0.05	0	0	0	0			
303	0.1834	0.0013	18.34	0.13	0	0	0	0			
356	0.6205	0.0019	62.05	0.19	0	0	0	0			Undertainty ENDSF
383	0.0894	0.0006	8.94	0.06	0	0	0	0			
											
Eu152											
121	0.2853	0.0016	28.53	0.16	0	0	0	0			
244	0.0755	0.0004	7.55	0.04	0	0	0	0			
296	0.0044	0.00004	0.44	0.004	0	0	0	0			
344	0.265998	0.002000006	0.0098	0.0005	26.59	0.2	0	0			
367	0.00859	0.00006	0.859	0.006	0	0	0	0			
411	0.02237	0.00013	2.237	0.013	0	0	0	0			
444	0.03125	0.000178045	2.827	0.014	0.298	0.011	0	0			
503	0.001524	0.00002	0.1524	0.002	0	0	0	0			
586	0.00455	0.00004	0.455	0.004	0	0	0	0			
678	0.00473	0.00004	0.473	0.004	0	0	0	0			
688	0.00856	0.00006	0.856	0.006	0	0	0	0			
719	0.00345	8.544E-05	0.25	0.008	0.095	0.003	0	0			
778	0.1293	0.0008	12.93	0.08	0	0	0	0			
810	0.00317	0.00003	0.317	0.003	0	0	0	0			
867	0.0423	0.0003	4.23	0.03	0	0	0	0			
963	0.1465	0.000702567	0.14	0.006	14.51	0.07	0	0			
1111	0.1367	0.0008	13.67	0.08	0	0	0	0			
1212	0.01415	0.00008	1.415	0.008	0	0	0	0			
1298	0.01633	0.00011	1.633	0.011	0	0	0	0			
1407	0.2087	0.0009	20.87	0.09	0	0	0	0			
